id,schedule_code,effective_date,li_item_id,pbs_code,drug_id,brand_name,old_value,significance,notes,created_at
2212,4558,2025-12-01T00:00:00.000Z,10399H_10037_1189_5419_54287,10399H,2100003000,Abrilada,"{""pbs_code"":""10399H"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""10399H_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2213,4558,2025-12-01T00:00:00.000Z,10412B_10037_1189_5419_54287,10412B,2100003000,Abrilada,"{""pbs_code"":""10412B"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""10412B_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2214,4558,2025-12-01T00:00:00.000Z,10419J_10037_1189_5419_54287,10419J,2100003000,Abrilada,"{""pbs_code"":""10419J"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""10419J_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2215,4558,2025-12-01T00:00:00.000Z,10944B_10037_1189_5419_54287,10944B,2100003000,Abrilada,"{""pbs_code"":""10944B"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""10944B_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2216,4558,2025-12-01T00:00:00.000Z,10960W_10037_1189_5419_54287,10960W,2100003000,Abrilada,"{""pbs_code"":""10960W"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""10960W_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2217,4558,2025-12-01T00:00:00.000Z,12325Q_10037_1189_5419_54287,12325Q,2100003000,Abrilada,"{""pbs_code"":""12325Q"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12325Q_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2218,4558,2025-12-01T00:00:00.000Z,12326R_10037_1189_5419_54287,12326R,2100003000,Abrilada,"{""pbs_code"":""12326R"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12326R_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2219,4558,2025-12-01T00:00:00.000Z,12327T_10037_1189_5419_54287,12327T,2100003000,Abrilada,"{""pbs_code"":""12327T"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12327T_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2220,4558,2025-12-01T00:00:00.000Z,12331B_10037_1189_5419_54287,12331B,2100003000,Abrilada,"{""pbs_code"":""12331B"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12331B_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2221,4558,2025-12-01T00:00:00.000Z,12333D_10037_1189_5419_54287,12333D,2100003000,Abrilada,"{""pbs_code"":""12333D"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12333D_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2222,4558,2025-12-01T00:00:00.000Z,12348X_10037_1189_5419_54287,12348X,2100003000,Abrilada,"{""pbs_code"":""12348X"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12348X_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2223,4558,2025-12-01T00:00:00.000Z,12365T_10037_1189_5419_54287,12365T,2100003000,Abrilada,"{""pbs_code"":""12365T"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12365T_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2224,4558,2025-12-01T00:00:00.000Z,12366W_10037_1189_5419_54287,12366W,2100003000,Abrilada,"{""pbs_code"":""12366W"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12366W_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2225,4558,2025-12-01T00:00:00.000Z,12367X_10037_1189_5419_54287,12367X,2100003000,Abrilada,"{""pbs_code"":""12367X"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12367X_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2226,4558,2025-12-01T00:00:00.000Z,12384T_10037_1189_5419_54287,12384T,2100003000,Abrilada,"{""pbs_code"":""12384T"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12384T_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2227,4558,2025-12-01T00:00:00.000Z,12387Y_10037_1189_5419_54287,12387Y,2100003000,Abrilada,"{""pbs_code"":""12387Y"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12387Y_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2228,4558,2025-12-01T00:00:00.000Z,12416L_10037_1189_5419_54287,12416L,2100003000,Abrilada,"{""pbs_code"":""12416L"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12416L_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2229,4558,2025-12-01T00:00:00.000Z,12434K_10037_1189_5419_54287,12434K,2100003000,Abrilada,"{""pbs_code"":""12434K"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12434K_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2230,4558,2025-12-01T00:00:00.000Z,12437N_10037_1189_5419_54287,12437N,2100003000,Abrilada,"{""pbs_code"":""12437N"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12437N_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2231,4558,2025-12-01T00:00:00.000Z,12438P_10037_1189_5419_54287,12438P,2100003000,Abrilada,"{""pbs_code"":""12438P"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""12438P_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2232,4558,2025-12-01T00:00:00.000Z,13721E_10037_1189_5419_54287,13721E,2100003000,Abrilada,"{""pbs_code"":""13721E"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""13721E_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2233,4558,2025-12-01T00:00:00.000Z,13722F_10037_1189_5419_54287,13722F,2100003000,Abrilada,"{""pbs_code"":""13722F"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""13722F_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2234,4558,2025-12-01T00:00:00.000Z,13744J_10037_1189_5419_54287,13744J,2100003000,Abrilada,"{""pbs_code"":""13744J"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""13744J_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2235,4558,2025-12-01T00:00:00.000Z,14222M_10037_1189_5419_54287,14222M,2100003000,Abrilada,"{""pbs_code"":""14222M"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""14222M_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2236,4558,2025-12-01T00:00:00.000Z,14243P_10037_1189_5419_54287,14243P,2100003000,Abrilada,"{""pbs_code"":""14243P"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""14243P_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2237,4558,2025-12-01T00:00:00.000Z,14251C_10037_1189_5419_54287,14251C,2100003000,Abrilada,"{""pbs_code"":""14251C"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""14251C_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2238,4558,2025-12-01T00:00:00.000Z,14283R_10037_1189_5419_54287,14283R,2100003000,Abrilada,"{""pbs_code"":""14283R"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""14283R_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2239,4558,2025-12-01T00:00:00.000Z,14958G_10037_1189_5419_54287,14958G,2100003000,Abrilada,"{""pbs_code"":""14958G"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""14958G_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2240,4558,2025-12-01T00:00:00.000Z,15008X_10037_1189_5419_54287,15008X,2100003000,Abrilada,"{""pbs_code"":""15008X"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""15008X_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
2241,4558,2025-12-01T00:00:00.000Z,15020M_10037_1189_5419_54287,15020M,2100003000,Abrilada,"{""pbs_code"":""15020M"",""formulary"":""F2"",""brand_name"":""Abrilada"",""li_item_id"":""15020M_10037_1189_5419_54287"",""determined_price"":444.17}",normal,PBS listing was present in the previous schedule and is now absent.,2026-08-29T11:14:36.234Z
