item_code,pbs_code,li_item_id,brand_name,strength,form,pack_size,pricing_quantity,current_aemp,determined_price,schedule_code,formulary
13586C_8808_1247_5561_28776,13586C,13586C_8808_1247_5561_28776,APO-ROSUVASTATIN,10 mg,Tablet 10 mg (as calcium),30,30,3.50,3.5000,4708,F2
2628H_8808_1247_5561_28776,2628H,2628H_8808_1247_5561_28776,APO-ROSUVASTATIN,10 mg,Tablet 10 mg (as calcium),30,30,3.50,3.5000,4708,F2
13588E_10829_1247_5563_28779,13588E,13588E_10829_1247_5563_28779,APO-ROSUVASTATIN,20 mg,Tablet 20 mg (as calcium),30,30,3.55,3.5500,4708,F2
2574L_10829_1247_5563_28779,2574L,2574L_10829_1247_5563_28779,APO-ROSUVASTATIN,20 mg,Tablet 20 mg (as calcium),30,30,3.55,3.5500,4708,F2
13589F_9472_1247_5565_28782,13589F,13589F_9472_1247_5565_28782,APO-ROSUVASTATIN,40 mg,Tablet 40 mg (as calcium),30,30,5.06,5.0600,4708,F2
2594M_9472_1247_5565_28782,2594M,2594M_9472_1247_5565_28782,APO-ROSUVASTATIN,40 mg,Tablet 40 mg (as calcium),30,30,5.06,5.0600,4708,F2
13406N_10828_1247_5567_28773,13406N,13406N_10828_1247_5567_28773,APO-ROSUVASTATIN,5 mg,Tablet 5 mg (as calcium),30,30,2.50,2.5000,4708,F2
2606E_10828_1247_5567_28773,2606E,2606E_10828_1247_5567_28773,APO-ROSUVASTATIN,5 mg,Tablet 5 mg (as calcium),30,30,2.50,2.5000,4708,F2
13586C_8808_1247_5561_52064,13586C,13586C_8808_1247_5561_52064,APX-Rosuvastatin,10 mg,Tablet 10 mg (as calcium),30,30,3.50,3.5000,4708,F2
2628H_8808_1247_5561_52064,2628H,2628H_8808_1247_5561_52064,APX-Rosuvastatin,10 mg,Tablet 10 mg (as calcium),30,30,3.50,3.5000,4708,F2
13588E_10829_1247_5563_52065,13588E,13588E_10829_1247_5563_52065,APX-Rosuvastatin,20 mg,Tablet 20 mg (as calcium),30,30,3.55,3.5500,4708,F2
2574L_10829_1247_5563_52065,2574L,2574L_10829_1247_5563_52065,APX-Rosuvastatin,20 mg,Tablet 20 mg (as calcium),30,30,3.55,3.5500,4708,F2
13589F_9472_1247_5565_52066,13589F,13589F_9472_1247_5565_52066,APX-Rosuvastatin,40 mg,Tablet 40 mg (as calcium),30,30,5.06,5.0600,4708,F2
2594M_9472_1247_5565_52066,2594M,2594M_9472_1247_5565_52066,APX-Rosuvastatin,40 mg,Tablet 40 mg (as calcium),30,30,5.06,5.0600,4708,F2
13406N_10828_1247_5567_52067,13406N,13406N_10828_1247_5567_52067,APX-Rosuvastatin,5 mg,Tablet 5 mg (as calcium),30,30,2.50,2.5000,4708,F2
2606E_10828_1247_5567_52067,2606E,2606E_10828_1247_5567_52067,APX-Rosuvastatin,5 mg,Tablet 5 mg (as calcium),30,30,2.50,2.5000,4708,F2
13586C_8808_1247_5561_56721,13586C,13586C_8808_1247_5561_56721,Blooms Rosuvastatin,10 mg,Tablet 10 mg (as calcium),30,30,3.50,3.5000,4708,F2
2628H_8808_1247_5561_56721,2628H,2628H_8808_1247_5561_56721,Blooms Rosuvastatin,10 mg,Tablet 10 mg (as calcium),30,30,3.50,3.5000,4708,F2
13588E_10829_1247_5563_56722,13588E,13588E_10829_1247_5563_56722,Blooms Rosuvastatin,20 mg,Tablet 20 mg (as calcium),30,30,3.55,3.5500,4708,F2
2574L_10829_1247_5563_56722,2574L,2574L_10829_1247_5563_56722,Blooms Rosuvastatin,20 mg,Tablet 20 mg (as calcium),30,30,3.55,3.5500,4708,F2
13589F_9472_1247_5565_56719,13589F,13589F_9472_1247_5565_56719,Blooms Rosuvastatin,40 mg,Tablet 40 mg (as calcium),30,30,5.06,5.0600,4708,F2
2594M_9472_1247_5565_56719,2594M,2594M_9472_1247_5565_56719,Blooms Rosuvastatin,40 mg,Tablet 40 mg (as calcium),30,30,5.06,5.0600,4708,F2
13406N_10828_1247_5567_56720,13406N,13406N_10828_1247_5567_56720,Blooms Rosuvastatin,5 mg,Tablet 5 mg (as calcium),30,30,2.50,2.5000,4708,F2
2606E_10828_1247_5567_56720,2606E,2606E_10828_1247_5567_56720,Blooms Rosuvastatin,5 mg,Tablet 5 mg (as calcium),30,30,2.50,2.5000,4708,F2
13586C_8808_1247_5561_28786,13586C,13586C_8808_1247_5561_28786,Cavstat,10 mg,Tablet 10 mg (as calcium),30,30,3.50,3.5000,4708,F2
2628H_8808_1247_5561_28786,2628H,2628H_8808_1247_5561_28786,Cavstat,10 mg,Tablet 10 mg (as calcium),30,30,3.50,3.5000,4708,F2
13588E_10829_1247_5563_28787,13588E,13588E_10829_1247_5563_28787,Cavstat,20 mg,Tablet 20 mg (as calcium),30,30,3.55,3.5500,4708,F2
2574L_10829_1247_5563_28787,2574L,2574L_10829_1247_5563_28787,Cavstat,20 mg,Tablet 20 mg (as calcium),30,30,3.55,3.5500,4708,F2
